,Kanji,Meaning,Radicals,Sound
2,政党,political party,Politics + Group,せいとう
3,政策,political measures,Politics + Plan,せいさく
5,憲政,constitutional government,Constitution + Politics,けんせい
1,担う,to carry on one's shoulder,Carry,にな
1,面接,interview (e.g. for a job),Face + Adjoin,めんせつ
2,面積,area (measurement),Face + Accumulate,めんせき
3,斜面,slope,Diagonal + Face,しゃめん
4,面倒,trouble,Face + Overthrow,
6,覆面,mask,Capsize + Face,ふくめん
3,品質,quality (of a product or a service),Product + Quality,ひんしつ
5,製品,manufactured goods,Manufacture + Product,せいひん
8,品詞,part of speech,Product + Part Of Speech,ひんし
11,上品,elegant,Product,じょうひん
12,盗品,stolen goods,Steal + Product,とうひん
13,逸品,excellent article,Deviate + Product,いっぴん
0,急ぐ,to hurry,Hurry,いそ
3,急に,swiftly,Hurry,きゅう
4,緊急,urgency,Tense + Hurry,きんきゅう
7,急増,rapid increase,Hurry + Increase,きゅうぞう
8,急騰,sudden rise (in price),Hurry + Inflation,きゅうとう
9,急患,emergency case,Hurry + Afflicted,きゅうかん
0,玄関,entrance,Mysterious + Related,げんかん
1,関係,relation,Related + Connection,かんけい
3,関連,relation,Related + Take Along,かんれん
5,関わる,to be involved (in),Related,かか
6,干渉,interference,Dry + Ford,かんしょう
1,真珠,pearl,Reality + Pearl,しんじゅ
3,真似,imitating,Reality + Resemble,まね
9,物真似,"imitation (of someone, something)",Thing + Reality + Resemble,ものまね
10,猿真似,indiscriminate imitation,Monkey + Reality + Resemble,さるまね
1,弁償,compensation,Dialect + Reparation,べんしょう
2,勘弁,pardon,Intuition + Dialect,かんべん
5,弁慶,strong person,Dialect + Congratulate,べんけい
6,関西弁,Kansai dialect,Related + West + Dialect,かんさいべん
1,治療,(medical) treatment,Cure + Heal,ちりょう
5,治癒,healing,Cure + Healing,ちゆ
3,幼稚園,"kindergarten (in Japan, non-compulsory education from age 3 until primary school)",Infancy + Immature + Garden,ようちえん
4,造園,landscape gardening,Create + Garden,ぞうえん
5,荘園,manor,Villa + Garden,しょうえん
6,霊園,(garden) cemetery,Ghost + Garden,れいえん
0,永遠,eternity,Eternity + Far,えいえん
1,遠い,far,Far,とお
2,遠慮,reserve,Far + Consider,えんりょ
3,遠く,far away,Far,とお
5,遠征,(military) expedition,Far + Subjugate,えんせい
6,疎遠,estrangement,Neglect + Far,そえん
2,書斎,study,Write + Purification,しょさい
4,書く,to write,Write,か
6,聖書,Bible,Holy + Write,せいしょ
7,書評,book review,Write + Evaluate,しょひょう
8,書類,document,Write + Type,しょるい
10,領収書,formal receipt (of payment,Territory + Obtain + Write,りょうしゅうしょ
12,履歴書,personal history,Boots + Continuation + Write,りれきしょ
13,書き込む,"to fill in (field, entry, etc.)",Write + Crowded,かこ
18,書架,bookshelf,Write + Shelf,しょか
1,幕府,shogunate,Curtain + Government,ばくふ
2,総理府,Prime Minister's office,Whole + Reason + Government,そうりふ
0,笑い,laugh,Laugh,わら
1,笑う,to laugh,Laugh,わら
3,爆笑,roar of laughter (from multiple people),Explode + Laugh,ばくしょう
4,幸い,happiness,Happiness,さいわ
1,傍ら,side,Nearby,かたわ
2,説得,persuasion,Theory + Acquire,せっとく
4,解説,explanation,Untie + Theory,かいせつ
7,逆説,paradox,Reverse + Theory,ぎゃくせつ
0,原因,cause,Original + Cause,げんいん
3,原稿,manuscript,Original + Draft,げんこう
4,原爆,atomic bomb,Original + Explode,げんばく
6,原油,crude oil,Original + Oil,げんゆ
0,徹底,thoroughness,Penetrate + Bottom,てってい
3,奥底,depths,Interior + Bottom,おくそこ
1,無限,infinity,Nothing + Limit,むげん
4,無駄,futility,Nothing + Burdensome,
5,無視,disregarding,Nothing + Look At,むし
14,無縁,unrelated,Nothing + Edge,むえん
17,無秩序,disorder,Nothing + Order + Preface,むちつじょ
19,無害,harmless,Nothing + Damage,むがい
20,容赦なく,mercilessly,Form + Pardon,ようしゃ
21,無税,duty-free,Nothing + Tax,むぜい
22,無我夢中,losing oneself (in),Nothing + I + Dream,むがむちゅう
1,殿堂,palace,Milord + Hall,でんどう
0,警官,police officer,Warn + Government,けいかん
1,官庁,government office,Government + Agency,かんちょう
2,官僚,bureaucrat,Government + Colleague,かんりょう
4,警察官,police officer,Warn + Guess + Government,けいさつかん
0,常識,common sense,Normal + Discerning,じょうしき
1,異常,abnormal,Differ + Normal,いじょう
2,常に,always,Normal,つね
4,非常,emergency,Injustice + Normal,ひじょう
6,非常に,very,Injustice + Normal,ひじょう
8,常勤,full-time employment,Normal + Work,じょうきん
9,恒常,constancy,Constant + Normal,こうじょう
0,梅干し,umeboshi,Ume + Dry,うめぼ
5,潜在意識,subconsciousness,Conceal + Exist + Idea + Discerning,せんざいいしき
6,有職,holding a job,Have + Employment,ゆうしょく
0,塩水,salt water,Salt,しおみず
1,是非,certainly,Absolutely + Injustice,ぜひ
3,非難,criticism,Injustice + Difficult,ひなん
6,非凡,extraordinary,Injustice + Mediocre,ひぼん
0,繁栄,prosperity,Overgrown + Prosperity,はんえい
1,栄える,to prosper,Prosperity,さか
4,栄誉,honour,Prosperity + Honor,えいよ
0,結果,result,Bind + Fruit,けっか
2,効果,effect,Effective + Fruit,こうか
3,果たして,as was expected,Fruit,は
5,逆効果,opposite effect,Reverse + Effective + Fruit,ぎゃくこうか
6,果樹,fruit tree,Fruit + Wood,かじゅ
7,果敢,resolute,Fruit + Daring,かかん
8,果てる,to end,Fruit,は
9,果汁,fruit juice,Fruit + Soup,かじゅう
1,兵隊,soldier,Soldier + Squad,へいたい
5,騎兵,cavalry,Horse + Soldier,きへい
6,兵舎,barracks,Soldier + Cottage,へいしゃ
7,伏兵,ambush,Bow + Soldier,ふくへい
8,兵糧,(army) provisions,Soldier + Provisions,ひょうろう
9,水兵,(naval) sailor,Soldier,すいへい
10,撤兵,withdrawal of troops,Withdrawal + Soldier,てっぺい
0,警察,police,Warn + Guess,けいさつ
2,警告,warning,Warn + Announce,けいこく
3,警戒,vigilance,Warn + Commandment,けいかい
4,警察署,police station,Warn + Guess + Government Office,けいさつしょ
6,警視庁,Metropolitan Police Department,Warn + Look At + Agency,けいしちょう
7,警察庁,National Police Agency,Warn + Guess + Agency,けいさつちょう
8,警鐘,alarm bell,Warn + Bell,けいしょう
9,戒める,to warn against,Commandment,いまし
1,腐敗,decomposition,Rot + Failure,ふはい
3,破る,to tear,Tear,やぶ
6,敗れる,to be defeated,Failure,やぶ
8,惜敗,regrettable defeat,Frugal + Failure,せきはい
2,恋愛,love,Romance + Love,れんあい
1,覚える,to memorize,Memorize,おぼ
2,視覚,(sense of) sight,Look At + Memorize,しかく
3,錯覚,optical illusion,Confused + Memorize,さっかく
4,覚悟,readiness,Memorize + Comprehension,かくご
7,悟る,to perceive,Comprehension,さと
8,幻覚,hallucination,Illusion + Memorize,げんかく
0,結婚,marriage,Bind + Marriage,けっこん
2,結構,splendid,Bind + Set Up,けっこう
5,凍結,freezing (e.g. water),Frozen + Bind,とうけつ
6,締結,conclusion,Tighten + Bind,ていけつ
0,座席,seat,Sit + Seat,ざせき
2,幻滅,disillusionment,Illusion + Destroy,げんめつ
2,主因,primary cause,Cause,しゅいん
0,渡る,to cross over,Transit,わた
0,薬剤師,pharmacist,Medicine + Dose + Teacher,やくざいし
3,睡眠薬,sleeping pill,Drowsy + Sleep + Medicine,すいみんやく
4,薬剤,medicine,Medicine + Dose,やくざい
5,妙薬,wonder drug,Strange + Medicine,みょうやく
6,薬用,medicinal use,Medicine,やくよう
0,謙虚,modest,Modesty + Void,けんきょ
2,廃墟,"ruins (of a building, town, etc.)",Obsolete + Ruins,はいきょ
1,診察,medical examination,Diagnose + Guess,しんさつ
0,干す,to air,Dry,ほ
3,欄干,railing,Column + Dry,らんかん
4,干潟,tidal flat,Dry + Lagoon,ひがた
5,干天,drought,Dry,かんてん
0,此れ,this,,こ
0,可愛い,cute,Possible + Love,
6,惜しむ,to spare,Frugal,お
7,愛憎,love and hate,Love + Hate,あいぞう
10,慈愛,affection (esp. parental),Mercy + Love,じあい
14,性愛,sexual love,Gender + Love,せいあい
3,鼻づまり,nasal congestion,Nose,はな
0,細い,thin,Thin,ほそ
1,細かい,small,Thin,こま
2,細胞,cell,Thin + Cell,さいぼう
3,詳細,details,Detailed + Thin,しょうさい
4,細菌,bacterium,Thin + Bacteria,さいきん
5,繊細,dainty,Fiber + Thin,せんさい
1,彼ら,they,He,かれ
2,等しい,equal,Equal,ひと
7,均等,"equal (distribution, treatment, level, etc.)",Equal + Equal,きんとう
8,奴ら,they,Dude,やつ
1,借りる,to borrow,Borrow,か
4,借款,loan (esp. between governments),Borrow + Article,しゃっかん
5,借用,borrowing,Borrow,しゃくよう
6,借り手,borrower,Borrow,かて
7,借財,loan,Borrow + Wealth,しゃくざい
0,経験,experience,Passage Of Time + Test,けいけん
2,試験,examination,Try + Test,しけん
3,試す,to try (out),Try,ため
0,静か,quiet,Quiet,しず
1,冷静,calmness,Cool + Quiet,れいせい
2,静まる,to become quiet,Quiet,しず
5,静める,"to quiet (a child, crowd, etc.)",Quiet,しず
6,静寂,silence,Quiet + Lonely,せいじゃく
7,静粛,silent,Quiet + Solemn,せいしゅく
8,閑静,quiet (e.g. neighbourhood),Leisure + Quiet,かんせい
1,吸う,to smoke,Suck,す
2,喫煙,smoking (tobacco),Consume + Smoke,きつえん
3,汽笛,steam whistle,Steam + Flute,きてき
1,焼く,to burn,Bake,や
2,焼ける,to burn,Bake,や
5,焼酎,shōchū,Bake + Sake,しょうちゅう
6,胸焼け,heartburn,Chest + Bake,むねや
8,照り焼き,teriyaki (meat or fish marinated in sweet soy sauce and broiled),Illuminate + Bake,てや
9,焼き芋,roasted sweet potato,Bake + Potato,やいも
0,尼僧,Buddhist nun,Nun + Priest,にそう
2,禅僧,Zen priest,Zen + Priest,ぜんそう
3,仏僧,Buddhist priest,Buddha + Priest,ぶっそう
2,忘れる,to forget,Forget,わす
1,報告,report,News + Announce,ほうこく
3,告げる,to tell,Announce,つ
5,勧告,advice,Recommend + Announce,かんこく
7,告訴,accusation,Announce + Sue,こくそ
9,密告,anonymous report,Secrecy + Announce,みっこく
10,戒告,admonition,Commandment + Announce,かいこく
11,公告,public announcement,Announce,こうこく
0,禁煙,abstaining from smoking,Prohibition + Smoke,きんえん
2,禁じる,to forbid,Prohibition,きん
3,厳禁,strict prohibition,Strict + Prohibition,げんきん
4,軟禁,house arrest,Soft + Prohibition,なんきん
5,禁句,taboo word,Prohibition + Paragraph,きんく
6,禁忌,taboo,Prohibition + Mourning,きんき
1,種類,variety,Kind + Type,しゅるい
6,穀類,grains,Grain + Type,こくるい
5,訓読み,kun reading,Instruction + Read,くんよ
6,訓戒,warning,Instruction + Commandment,くんかい
0,座禅,"zazen (seated Zen meditation, usu. in a cross-legged position)",Sit + Zen,ざぜん
1,禅宗,Zen (Buddhism),Zen + Religion,ぜんしゅう
5,俺たち,we,I,おれ
6,伊達,elegance,Italy + Attain,だて
0,免許,license,Excuse + Permit,めんきょ
1,許す,to permit,Permit,ゆる
2,許可,permission,Permit + Possible,きょか
3,許諾,consent,Permit + Agreement,きょだく
0,俳句,haiku,Haiku + Paragraph,はいく
3,節句,seasonal festival,Season + Paragraph,せっく
1,座る,to sit,Sit,すわ
4,即座,immediate,Instant + Sit,そくざ
6,座敷,tatami room,Sit + Spread,ざしき
7,胡坐,sitting cross-legged,Barbarian,あぐら
0,祈る,to pray,Pray,いの
1,祈念,prayer,Pray + Thought,きねん
2,洗脳,brainwashing,Wash + Brain,せんのう
3,煙い,smoky,Smoke,けむ
4,噴煙,(eruption of) smoke,Erupt + Smoke,ふんえん
3,報酬,remuneration,News + Repay,ほうしゅう
6,報じる,to report,News,ほう
8,朗報,good news,Bright + News,ろうほう
0,洗濯,washing,Wash + Wash,せんたく
1,洗う,to wash,Wash,あら
3,洗剤,detergent,Wash + Dose,せんざい
5,洗濯機,washing machine,Wash + Wash + Machine,せんたくき
6,洗浄,washing,Wash + Cleanse,せんじょう
11,洗浄剤,detergent,Wash + Cleanse + Dose,せんじょうざい
0,宇宙,universe,Outer Space + Mid Air,うちゅう
0,続ける,to continue,Continue,つづ
1,続く,to continue,Continue,つづ
2,連続,continuation,Take Along + Continue,れんぞく
5,継ぐ,"to succeed (a person, to a position, etc.)",Inherit,つ
0,財布,wallet,Wealth + Cloth,さいふ
2,財閥,zaibatsu,Wealth + Clique,ざいばつ
1,布団,futon,Cloth + Group,
3,敷く,to spread out (e.g. a futon),Spread,し
4,雑巾,house-cloth,Random + Towel,ぞうきん
5,布巾,dish towel,Cloth + Towel,ふきん
6,塗布,"application (of ointment, etc.)",Paint + Cloth,とふ
8,若布,"wakame (species of edible brown seaweed, Undaria pinnatifida)",Young + Cloth,わかめ
9,綿布,cotton cloth,Cotton + Cloth,めんぷ
10,昆布,kombu (usu. Saccharina japonica),Descendants + Cloth,こんぶ
1,乱暴,violence,Riot + Violence,らんぼう
2,暴れる,to act violently,Violence,あば
3,暴露,disclosure,Violence + Expose,ばくろ
6,暴騰,sudden rise,Violence + Inflation,ぼうとう
7,暴虐,tyranny,Violence + Oppress,ぼうぎゃく
9,無謀,reckless,Nothing + Conspire,むぼう
2,納得,consent,Supply + Acquire,なっとく
4,得る,to get,Acquire,え
6,獲得,acquisition,Seize + Acquire,かくとく
0,歴史,history,Continuation + History,れきし
4,副詞,adverb,Vice + Part Of Speech,ふくし
12,数詞,numeral,Count + Part Of Speech,すうし
3,遍歴,travels,Universal + Continuation,へんれき
0,改善,betterment,Renew + Morally Good,かいぜん
2,慈善,charity,Mercy + Morally Good,じぜん
0,一冊,"one copy (of a book, magazine, etc.)",Books Counter,いっさつ
1,別冊,separate volume,Separate + Books Counter,べっさつ
1,従う,"to obey (an order, law, etc.)",Obey,したが
2,順序,order,Order + Preface,じゅんじょ
3,従順,obedient,Obey + Order,じゅうじゅん
6,席順,seating order,Seat + Order,せきじゅん
2,団扇,uchiwa,Group + Folding Fan,うちわ
3,劇団,troupe,Drama + Group,げきだん
7,入団,"joining (a group, team, etc.)",Group,にゅうだん
9,応援団,cheering group,Respond + Aid + Group,おうえんだん
0,連絡,contacting,Take Along + Entangle,れんらく
1,絡む,to twine,Entangle,から
2,容易,easy,Form + Easy,ようい
4,寛容,tolerance,Tolerance + Form,かんよう
7,容赦,pardon,Form + Pardon,ようしゃ
0,乱れる,to be disordered,Riot,みだ
1,混乱,disorder,Mix + Riot,こんらん
3,乱す,to throw into disorder,Riot,みだ
4,錯乱,confusion,Confused + Riot,さくらん
0,困る,to be troubled,Distressed,こま
1,困難,difficulty,Distressed + Difficult,こんなん
2,困窮,poverty,Distressed + Destitute,こんきゅう
0,若い,young,Young,わか
3,若い頃,one's youth,Young + Approximate,わかころ
2,連邦,federation (of states),Take Along + Home Country,れんぽう
7,連盟,league,Take Along + Alliance,れんめい
8,連れる,to take (someone) with one,Take Along,つ
9,連覇,successive championships,Take Along + Leadership,れんぱ
10,連鎖,chain,Take Along + Chain,れんさ
0,忙しい,busy,Busy,いそが
2,繁忙,busy,Overgrown + Busy,はんぼう
2,加える,to add,Add,くわ
0,踏む,to step on,Step,ふ
3,履物,footwear,Boots + Thing,はきもの
0,貿易,(foreign) trade,Trade + Easy,ぼうえき
