,Kanji,Meaning,Radicals,Sound
5,埼玉県,Saitama Prefecture (Kanto area),Cape + Ball + Prefecture,さいたまけん
6,ビー玉,marble,Ball,だま
1,火災,conflagration,Fire + Disaster,かさい
3,花火,fireworks,Flower + Fire,はなび
4,噴火,eruption,Erupt + Fire,ふんか
5,火事,fire,Fire + Action,かじ
6,明かり,light,Bright,あ
7,防火,fire prevention,Prevent + Fire,ぼうか
8,火傷,burn,Fire + Wound,やけど
9,火照る,to feel hot,Fire + Illuminate,ほて
10,火炎瓶,Molotov cocktail,Fire + Flame + Bottle,かえんびん
11,火葬,cremation,Fire + Burial,かそう
12,耐火,fireproof,Resistant + Fire,たいか
0,天才,genius,Heaven + Genius,てんさい
1,才能,talent,Genius + Ability,さいのう
3,万歳,banzai,Ten Thousand + Years Old,ばんざい
4,漫才,manzai,Manga + Genius,まんざい
0,時々,sometimes,Time + Repeater,ときどき
1,色々,various,Color + Repeater,いろいろ
2,段々,gradually,Steps + Repeater,だんだん
3,我々,we,I + Repeater,われわれ
4,様々,various,Formal Name Title + Repeater,さまざま
5,次々,in succession,Next + Repeater,つぎつぎ
7,別々,separate,Separate + Repeater,べつべつ
8,続々,successively,Continue + Repeater,ぞくぞく
9,銘々,each,Inscription + Repeater,めいめい
10,謎々,riddle,Riddle + Repeater,なぞなぞ
11,着々,steadily,Wear + Repeater,ちゃくちゃく
12,若々しい,youthful,Young + Repeater,わかわか
13,悠々,quiet,Leisure + Repeater,ゆうゆう
14,其れ其れ,each,,そぞ
16,蝶々,butterfly,Butterfly + Repeater,ちょうちょう
18,粘々,sticky,Sticky + Repeater,ねばねば
19,荒々しい,rough,Wild + Repeater,あらあら
20,早々,early,Early + Repeater,はやばや
21,渋々,reluctantly,Bitter + Repeater,しぶしぶ
22,弱々しい,weak,Weak + Repeater,よわよわ
23,諸々,all kinds of things,Various + Repeater,もろもろ
25,華々しい,brilliant,Showy + Repeater,はなばな
0,終わる,to end,End,お
1,完了,completion,Perfect + Finish,かんりょう
2,終了,end,End + Finish,しゅうりょう
3,了解,comprehension,Finish + Untie,りょうかい
4,明瞭,clear,Bright + Clear,めいりょう
0,何千,many thousands,What + Thousand,なんぜん
1,４０００,four thousand,,よんせん
2,千円札,"1,000 yen bill",Thousand + Yen + Bill,せんえんさつ
3,１０００,"1,000",,いっせん
4,千葉,"Chiba (city, prefecture)",Thousand + Leaf,ちば
1,先月,last month,Previous + Moon,せんげつ
2,来月,next month,Come + Moon,らいげつ
3,今月,this month,Now + Moon,こんげつ
5,満月,full moon,Full + Moon,まんげつ
6,再来月,month after next,Again + Come + Moon,さらいげつ
7,月末,end of the month,Moon + End,げつまつ
8,毎月,every month,Every + Moon,まいつき
9,６月,June,Moon,ろくがつ
10,４月,April,Moon,しがつ
15,歳月,time,Years Old + Moon,さいげつ
16,翌月,following month,The Following + Moon,よくげつ
17,月額,monthly amount (sum),Moon + Amount,げつがく
18,月光,moonlight,Moon + Sunlight,げっこう
19,月見,moon viewing (esp. during the eight month of the lunar calendar),Moon + See,つきみ
0,石油,oil,Stone + Oil,せきゆ
1,宝石,gem,Treasure + Stone,ほうせき
2,石炭,coal,Stone + Charcoal,せきたん
3,磁石,magnet,Magnet + Stone,じしゃく
4,胆石,gallstone,Guts + Stone,たんせき
5,石垣,stone wall,Stone + Hedge,いしがき
6,石碑,stone monument,Stone + Tombstone,せきひ
7,鉱石,ore,Mineral + Stone,こうせき
8,砕石,crushed stone,Smash + Stone,さいせき
0,丁度,exactly,Street + Degrees,
1,包丁,kitchen knife,Wrap + Street,ほうちょう
2,丁寧,polite,Street + Rather,ていねい
3,丁目,district of a town,Street + Eye,ちょうめ
0,昨夜,last night,Previous + Night,ゆうべ
1,夕焼け,evening glow,Evening + Bake,ゆうや
2,夕刊,evening edition (of a daily newspaper),Evening + Edition,ゆうかん
0,駄目,no good,Burdensome + Eye,だめ
1,目的,purpose,Eye + Target,もくてき
2,目標,goal,Eye + Signpost,もくひょう
3,科目,(school) subject,Science + Eye,かもく
4,項目,item,Paragraph + Eye,こうもく
5,役目,duty,Service + Eye,やくめ
6,惨め,miserable,Disaster,みじ
7,目覚める,to wake up,Eye + Memorize,めざ
9,目次,table of contents,Eye + Next,もくじ
10,盲目,blindness,Blind + Eye,もうもく
12,縫い目,seam,Sew + Eye,ぬめ
13,憂き目,bitter experience,Grief + Eye,うめ
0,面白い,interesting,Face + White,おもしろ
1,白い,white,White,しろ
2,告白,"confession (to a crime, wrongdoing, etc.)",Announce + White,こくはく
3,台詞,"(spoken) line (in a play, film, comic, etc.)",Machine + Part Of Speech,せりふ
4,白黒,black and white,White + Black,しろくろ
5,白熊,polar bear (Ursus maritimus),White + Bear,しろくま
6,白鳥,swan (Cygnus spp.),White + Bird,はくちょう
7,白旗,white flag,White + Flag,しらはた
8,白人,white person,White + Person,はくじん
9,白菊,white chrysanthemum,White + Chrysanthemum,しらぎく
1,木材,lumber,Tree + Lumber,もくざい
2,材木,wood (for building),Lumber + Tree,ざいもく
3,木綿,cotton (material),Tree + Cotton,もめん
4,枯れ木,dead tree,Wither + Tree,かき
5,木製,wooden,Tree + Manufacture,もくせい
0,丸い,round,Circle,まる
1,円滑,smooth,Yen + Slippery,えんかつ
3,円盤,disk,Yen + Tray,えんばん
4,円弧,arc,Yen + Arc,えんこ
0,四つ,four,Four,よっ
1,四季,the four seasons,Four + Seasons,しき
2,四角,quadrilateral,Four + Angle,しかく
4,四国,Shikoku (smallest of the four main islands of Japan),Four + Country,しこく
6,４０,forty,,よんじゅう
7,４００,400,,よんひゃく
0,難しい,difficult,Difficult,むずか
1,六つ,six,Six,むっ
4,十六,sixteen,Ten + Six,じゅうろく
0,出版,publication,Exit + Edition,しゅっぱん
1,輸出,export,Transport + Exit,ゆしゅつ
2,出来る,to be able to do,Exit + Come,でき
3,出る,to leave,Exit,で
4,出す,to take out,Exit,だ
5,出かける,to go out (e.g. on an excursion or outing),Exit,で
6,思い出す,to recall,Think + Exit,おもだ
7,出血,bleeding,Exit + Blood,しゅっけつ
8,出発,departure,Exit + Departure,しゅっぱつ
9,出席,attendance,Exit + Seat,しゅっせき
10,出会う,to meet (by chance),Exit + Meet,であ
11,提出,presentation (of documents),Present + Exit,ていしゅつ
12,思い出,memories,Think + Exit,おもで
13,取り出す,to take out,Take + Exit,とだ
14,噴出,spewing,Erupt + Exit,ふんしゅつ
16,排出,discharge,Reject + Exit,はいしゅつ
17,抽出,extraction,Pluck + Exit,ちゅうしゅつ
18,吹き出す,to spout out,Blow + Exit,ふだ
19,出版社,publisher,Exit + Edition + Company,しゅっぱんしゃ
20,出所,source,Exit + Place,しゅっしょ
