Kanji,Meaning,Radicals,Sound
本来,originally,Book + Come,ほんらい
本気,seriousness,Book + Energy,ほんき
基本的,fundamental,Foundation + Book + Target,きほんてき
本屋,bookstore,Book + Roof,ほんや
本社,head office,Book + Company,ほんしゃ
本当に,really,Book + Correct,ほんとう
丸ごと,in its entirety,Circle,まる
弾丸,bullet,Bullet + Circle,だんがん
水道,water supply,Water + Road,すいどう
香水,perfume,Fragrance + Water,こうすい
噴水,water fountain,Erupt + Water,ふんすい
洪水,flood,Flood + Water,こうずい
潜水,diving,Conceal + Water,せんすい
水滴,drop of water,Water + Drip,すいてき
排水,drainage,Reject + Water,はいすい
水着,bathing suit,Water + Wear,みずぎ
防水,waterproofing,Prevent + Water,ぼうすい
潜水艦,submarine,Conceal + Water + Warship,せんすいかん
西瓜,watermelon (Citrullus lanatus),West + Melon,すいか
水色,light blue,Water + Color,みずいろ
水害,water damage,Water + Damage,すいがい
浸水,inundation,Immersed + Water,しんすい
