Kanji,Meaning,Radicals,Sound
署,"Government Office, Political Office",Net + Someone *,しょ
因,Cause,Mouth + Big,いん
渉,Ford,Tsunami + Walk *,しょう
薬,"Medicine, Drug",Flowers + Comfort *,くすり
虚,Void,Tiger + Spikes,きょ
察,Guess,Roof + Festival *,さつ
干,"Dry, Dry Out",Dry,ほ
是,Absolutely,Sun + Correct *,ぜ
愛,Love,Cleat + Forehead + Heart + Winter,あい
鼻,Nose,Self + Rice Paddy + Twenty,はな
細,Thin,Thread + Rice Paddy,さい
等,Equal,Bamboo + Temple,とう
借,Borrow,Leader + Long Ago *,しゃく
験,Test,Horse + Squid,けん
静,Quiet,Blue + Conflict *,しず
喫,Consume,Mouth + Master + Sword + Big,きつ
汽,Steam,Tsunami + Energy,き
焼,"Bake, Cook, Burn",Fire + Gambler,や
僧,"Priest, Monk",Leader + Mask,そう
忘,Forget,Death + Heart,わす
告,Announce,Slide + Dirt + Mouth,こく
禁,Prohibition,Treex2 + Jackhammer,きん
類,"Type, Category, Kind",Rice + Big + Geoduck,るい
種,"Kind, Type",Grain + Heavy,しゅ
訓,Instruction,Say + River,くん
禅,"Zen, Zen Buddhism",Spirit + Simple,ぜん
達,"Attain, Plural",Treadmill + Happiness *,たつ
試,"Try, Attempt",Say + Construction + Ceremony,し
許,"Permit, Allow",Say + Noon *,きょ
弓,Bow,Bow,ゆみ
句,"Paragraph, Phrase",Paragraph,く
座,"Sit, Seat",Mullet + Personx2 + Dirt,ざ
胸,"Chest, Breast",Moon + Prison + Treasure Chest,きょう
祈,"Pray, Prayer",Spirit + Axe,いの
脳,Brain,Moon + Grass + Treasure Chest,のう
枚,Flat Objects Counter,Tree + Winter,まい
煙,Smoke,Fire + Helicopter + Dirt,えん
報,"News, Report",Happiness + Stamp + Stool *,ほう
洗,Wash,Tsunami + Previous *,あら
可,Possible,Lip Ring,か
宙,Mid Air,Roof + Reason *,ちゅう
笛,Flute,Bamboo + Reason *,ふえ
続,Continue,Thread + Sell *,ぞく
財,Wealth,Shellfish + Genius *,さい
布,Cloth,Narwhal + Towel,ふ
宇,Outer Space,Roof + Dry,う
暴,Violence,Sun + Together + Water *,ぼう
得,Acquire,Loiter + Sun + Temple,とく
史,History,History,し
詞,Part Of Speech,Say + Director *,し
歴,Continuation,Cliff + Treex2 + Stop,れき
善,Morally Good,Sheep + Horns + Ground + Mouth,ぜん
冊,Books Counter,Bookshelf,さつ
閥,"Clique, Clan",Gate + Leader + Drunkard,ばつ
順,"Order, Sequence",River + Geoduck,ちょう
団,Group,Mouth + Measurement,だん
絡,"Entangle, Coil Around, Entwine",Thread + Kiss,らく
容,"Form, Appearance, Shape, Figure",Roof + Valley *,よう
乱,Riot,Tongue + Umbrella,らん
節,Season,Bamboo + Root + Stamp,せつ
昆,Descendants,Sun + Compare,こん
困,"Distressed, Troubled",Mouth + Tree,こん
若,Young,Flowers + Narwhal + Mouth,も
連,Take Along,Treadmill + Car,れん
忙,Busy,Soul + Death,ぼう
加,Add,Power + Mouth,カ
履,Boots,Flag + Loiter + Black Hole,り
易,Easy,Easy,えき
減,Decrease,Tsunami + Feeling/2 *,へ
舌,Tongue,Tongue,した
改,Renew,Oneself + Winter,かい
徒,"Junior, Follower",Loiter + Run,と
比,Compare,Compare,ひ
混,Mix,Tsunami + Sun + Compare,こん
罪,Guilt,Net + Criminal,ざい
難,Difficult,Chinese + Turkey,なん
機,Machine,Tree + Trashx2 + Drunkard + Person,き
確,Certain,Stone + Forehead + Turkey,かく
圧,Pressure,Cliff + Dirt,あつ
妻,Wife,Ground + Brush + Woman,さい
震,Earthquake,Rain + Landslide,さい
災,Disaster,Flood + Fire,さい
夢,Dream,Flowers + Net + Forehead + Evening,む
率,Percent,Lid + Explosion + Trash + Cross,りつ
嫌,Dislike,Woman + Mona Lisa,きら
産,"Give Birth, Birth",Stand + Cliff + Life,さん
尾,Tail,Flag + Fur,お
議,Deliberation,Say + Righteousness,ぎ
臭,"Stinking, Stinky, Smelly",Self + Big,くさ
尻,Butt,Flag + Nine,しり
余,"Surplus, Excess",Hat + Jackhammer,よ
厚,Thick,Cliff + Sun + Child,あつ
穴,"Hole, Cave",Hole,あな
妨,"Obstruct, Impede",Woman + Direction,さまた
経,"Passage Of Time, Pass Through, Manage",Thread + Tombstone,けい
裕,"Abundant, Plentiful",Spirit + Valley *,ゆう
械,Contraption,Tree + Drunkard + Twenty,かい
犯,Crime,Animal + Snake,はん
被,Incur,Spirit + Skin,ひ
個,Individual,Leader + Mouth + Old,こ
害,"Damage, Injury, Harm",Roof + King + Mouth,がい
倒,"Overthrow, Collapse",Leader + Mole + Knife,たお
論,Theory,Say + Hat + Ground + Bookshelf,ろん
防,"Prevent, Prevention",Building + Direction,ぼう
在,Exist,Narwhal + Stick + Dirt,ざい
飛,Fly,★,ひ
制,Control,Life + Towel + Knife,せい
断,Cut Off,Lion + Rice + Axe,だん
